id,original_title,naija_title,tags,hashtags
1,High Value Man vs Modern Woman,Odogwu vs Breakfast Distributor,"Stoicism,Nigeria,Relationships,RedPill","#nogreeforanybody,#fearwomen,#naija"
2,Financial Responsibility Standards,Who Dey Pay The Bills?,"Finance,Relationships,Nigeria","#sapa,#nosurprise,#Lagos"
3,Emotional Labor Arguments,Wetin Be Emotional Labor?,"Psychology,Relationships,Nigeria","#fearwomen,#emotional,#naija"
4,Double Standards in Dating,The Format Don Leak,"Dating,DoubleStandards,Nigeria","#format,#breakfast,#relationships"
5,Provider Role Expectations,Odogwu Must Provide Everything?,"Finance,Relationships,Nigeria","#provider,#bills,#naija"
6,Body Count Discussions,Who Count Pass?,"Dating,Controversy,Nigeria","#bodycount,#redpill,#naija"
7,Submission vs Partnership,Submission Na Scam?,"Relationships,Traditional,Nigeria","#submission,#marriage,#naija"
8,Age Gap Relationships,Older Man Younger Woman Palava,"Dating,AgeGap,Nigeria","#agegap,#sugarDaddy,#Lagos"
9,Marriage Material Standards,Wife Material vs Career Woman,"Marriage,Standards,Nigeria","#wifematerial,#career,#naija"
10,Prenup Controversy,Prenup Na Lack Of Trust?,"Marriage,Finance,Nigeria","#prenup,#trust,#marriage"
11,Independent Woman Claims,Independent Woman Wey Need Man Money,"Finance,Feminism,Nigeria","#independent,#feminist,#naija"
12,Friendzone Dynamics,Friend Zone Na Scam,"Dating,Friendzone,Nigeria","#friendzone,#breakfast,#naija"
13,Split Bill Arguments,50/50 When She No Dey Cook?,"Dating,Finance,Nigeria","#5050,#bills,#datingstandards"
14,Traditional Gender Roles,Man Must Lead The House,"Traditional,Gender,Nigeria","#traditional,#masculinity,#naija"
15,Earning Potential Standards,She Want Man Wey Earn 10 Million,"Finance,Standards,Nigeria","#highearner,#Lagos,#money"
16,Career vs Homemaker,Career Woman Wey Want House Wife Benefits,"Career,Marriage,Nigeria","#career,#housewife,#naija"
17,Social Media Validation,Instagram Model Wey Wan Serious Man,"SocialMedia,Dating,Nigeria","#instagram,#packaging,#naija"
18,Loyalty Tests,Loyalty Test Na Red Flag,"Relationships,Trust,Nigeria","#loyalty,#trust,#redflags"
19,Past Relationship Baggage,Past Relationship Na Teacher,"Dating,Past,Nigeria","#past,#lessons,#relationships"
20,Expensive Dates Expectations,Why Every Date Must Be Expensive?,"Dating,Finance,Nigeria","#expensive,#dates,#Lagos"
21,Provider Without Partnership,Provider Wey Get No Peace,"Finance,Marriage,Nigeria","#provider,#peace,#marriage"
22,Feminism Contradiction,Feminist Wey Want Masculine Man,"Feminism,Contradiction,Nigeria","#feminist,#masculine,#naija"
23,Height Requirements,6ft Gang Palaver,"Dating,Standards,Nigeria","#height,#datingstandards,#naija"
24,Accountability Avoidance,Accountability Na Hate?,"SelfImprovement,Women,Nigeria","#accountability,#growth,#naija"
25,The Prize Mentality,I Am The Prize Energy,"Dating,Entitlement,Nigeria","#prize,#entitlement,#naija"
26,Side Chick Culture,Side Chick Syndrome,"Cheating,Culture,Nigeria","#sidechick,#cheating,#Lagos"
27,Soft Life Expectations,Soft Life Without Hard Work?,"Lifestyle,Finance,Nigeria","#softlife,#hardwork,#naija"
28,Baby Mama Drama,Baby Mama Wahala,"Relationships,Kids,Nigeria","#babymama,#drama,#naija"
29,Gold Digger Defense,She No Be Gold Digger She Get Standard,"Finance,Dating,Nigeria","#golddigger,#standards,#Lagos"
30,Alpha vs Beta Debate,Alpha Male vs Beta Provider,"Masculinity,Dating,Nigeria","#alpha,#beta,#redpill"
31,Toxic Femininity,Toxic Femininity Dey Exist,"Feminism,Toxicity,Nigeria","#toxic,#femininity,#naija"
32,Value Addition Arguments,Wetin You Dey Add To My Life?,"Relationships,Value,Nigeria","#value,#partnership,#naija"
33,Sigma Male Energy,Sigma Male No Send Anybody,"Masculinity,Stoicism,Nigeria","#sigma,#stoic,#naija"
